## DSID    events    xsec[pb]*kfac*filter        lumi[fb-1]         name
---------  --------  --------------------------  -----------------  ------------------------------------------------------------------------------
##         ##        ====================        ##                 ##
##         ##        Diboson_DC14_MC15sim        ##                 ##
304936     150000    0.0010709*1.0*1.0           140069.1           mc15_13TeV.304936.Sherpa_CT10_VV_evtauv_1000M2000
304937     150000    2.7032e-05*1.0*1.0          5548978.99         mc15_13TeV.304937.Sherpa_CT10_VV_evtauv_2000M3000
304938     150000    1.3668e-06*1.0*1.0          109745390.69       mc15_13TeV.304938.Sherpa_CT10_VV_evtauv_3000M4000
304939     150000    8.3209e-08*1.0*1.0          1802689612.9       mc15_13TeV.304939.Sherpa_CT10_VV_evtauv_4000M5000
304941     250000    1.8334*1.0*1.0              136.36             mc15_13TeV.304941.Sherpa_CT10_VV_muvtauv_0M150
304942     150000    0.4558*1.0*1.0              329.09             mc15_13TeV.304942.Sherpa_CT10_VV_muvtauv_150M500
304943     150000    0.015743*1.0*1.0            9528.04            mc15_13TeV.304943.Sherpa_CT10_VV_muvtauv_500M1000
304944     150000    0.0010692*1.0*1.0           140291.81          mc15_13TeV.304944.Sherpa_CT10_VV_muvtauv_1000M2000
304945     150000    2.7136e-05*1.0*1.0          5527712.26         mc15_13TeV.304945.Sherpa_CT10_VV_muvtauv_2000M3000
304946     150000    1.3634e-06*1.0*1.0          110019069.97       mc15_13TeV.304946.Sherpa_CT10_VV_muvtauv_3000M4000
304947     150000    8.3388e-08*1.0*1.0          1798819974.1       mc15_13TeV.304947.Sherpa_CT10_VV_muvtauv_4000M5000
304949     250000    1.2286*1.0*1.0              203.48             mc15_13TeV.304949.Sherpa_CT10_VV_tauvtauv_0M150
304950     150000    0.22881*1.0*1.0             655.57             mc15_13TeV.304950.Sherpa_CT10_VV_tauvtauv_150M500
304951     150000    0.0079497*1.0*1.0           18868.64           mc15_13TeV.304951.Sherpa_CT10_VV_tauvtauv_500M1000
