
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301081 	249800 	3.2852*1.0*1.0 		76.04 		mc15_13TeV.301081.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_180M250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301082 	149400 	1.0832*1.0*1.0 		137.92 		mc15_13TeV.301082.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_250M400.merge.AOD.e3663_s2608_s2183_r6869_r6282
301083 	100000 	0.17541*1.0*1.0 	570.09 		mc15_13TeV.301083.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_400M600.merge.AOD.e3663_s2608_s2183_r6869_r6282
301084 	50000 	0.03098*1.0*1.0 	1613.94 	mc15_13TeV.301084.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_600M800.merge.AOD.e3663_s2608_s2183_r6869_r6282
301085 	50000 	0.0082865*1.0*1.0 	6033.91 	mc15_13TeV.301085.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_800M1000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301086 	50000 	0.0031594*1.0*1.0 	15825.79 	mc15_13TeV.301086.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1000M1250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301087 	50000 	0.0010029*1.0*1.0 	49855.42 	mc15_13TeV.301087.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1250M1500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301088 	49800 	0.00036812*1.0*1.0 	135281.97 	mc15_13TeV.301088.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1500M1750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301089 	50000 	0.00014945*1.0*1.0 	334560.05 	mc15_13TeV.301089.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1750M2000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301090 	49600 	6.5311e-05*1.0*1.0 	759443.28 	mc15_13TeV.301090.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2000M2250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301091 	50000 	3.0167e-05*1.0*1.0 	1657440.25 	mc15_13TeV.301091.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2250M2500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301092 	49600 	1.4549e-05*1.0*1.0 	3409169.02 	mc15_13TeV.301092.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2500M2750.merge.AOD.e3663_s2608_s2183_r6869_r6282
301093 	50000 	7.2592e-06*1.0*1.0 	6887811.33 	mc15_13TeV.301093.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2750M3000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301094 	49800 	5.6692e-06*1.0*1.0 	8784308.19 	mc15_13TeV.301094.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_3000M3500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301095 	50000 	1.5975e-06*1.0*1.0 	31298904.54 	mc15_13TeV.301095.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_3500M4000.merge.AOD.e3663_s2608_s2183_r6869_r6282
301096 	50000 	4.721e-07*1.0*1.0 	105909764.88 	mc15_13TeV.301096.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_4000M4500.merge.AOD.e3663_s2608_s2183_r6869_r6282
301097 	50000 	1.4279e-07*1.0*1.0 	350164577.35 	mc15_13TeV.301097.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_4500M5000.merge.AOD.e3663_s2608_s2183_r6869_r6282
